Origin/Destination,start station name,Route,start station latitude,start station longitude
Origin,Grove St PATH,Grove St PATH_to_Grove St PATH,40.71958612,-74.04311746
Destination,Grove St PATH,Grove St PATH_to_Grove St PATH,40.72159752,-74.04681146
Origin,Grove St PATH,Grove St PATH_to_5 Corners Library,40.71958612,-74.04311746
Destination,5 Corners Library,Grove St PATH_to_5 Corners Library,40.73496102,-74.05950308
Origin,Grove St PATH,Grove St PATH_to_Astor Place,40.71958612,-74.04311746
Destination,Astor Place,Grove St PATH_to_Astor Place,40.7192822,-74.07126188
Origin,Grove St PATH,Grove St PATH_to_Baldwin at Montgomery,40.71958612,-74.04311746
Destination,Baldwin at Montgomery,Grove St PATH_to_Baldwin at Montgomery,40.7236589,-74.0641943
Origin,Grove St PATH,Grove St PATH_to_Bergen Ave,40.71958612,-74.04311746
Destination,Bergen Ave,Grove St PATH_to_Bergen Ave,40.72210379,-74.071455
Origin,Grove St PATH,Grove St PATH_to_Brunswick & 6th,40.71958612,-74.04311746
Destination,Brunswick & 6th,Grove St PATH_to_Brunswick & 6th,40.72601173,-74.05038893
Origin,Grove St PATH,Grove St PATH_to_Brunswick St,40.71958612,-74.04311746
Destination,Brunswick St,Grove St PATH_to_Brunswick St,40.7241765,-74.0506564
Origin,Grove St PATH,Grove St PATH_to_Christ Hospital,40.71958612,-74.04311746
Destination,Christ Hospital,Grove St PATH_to_Christ Hospital,40.73478582,-74.05044364
Origin,Grove St PATH,Grove St PATH_to_City Hall,40.71958612,-74.04311746
Destination,City Hall,Grove St PATH_to_City Hall,40.7177325,-74.043845
Origin,Grove St PATH,Grove St PATH_to_Columbus Drive,40.71958612,-74.04311746
Destination,Columbus Drive,Grove St PATH_to_Columbus Drive,40.7183552,-74.03891444
Origin,Grove St PATH,Grove St PATH_to_Communipaw & Berry Lane,40.71958612,-74.04311746
Destination,Communipaw & Berry Lane,Grove St PATH_to_Communipaw & Berry Lane,40.71435837,-74.06661093
Origin,Grove St PATH,Grove St PATH_to_Dey St,40.71958612,-74.04311746
Destination,Dey St,Grove St PATH_to_Dey St,40.737711,-74.066921
Origin,Grove St PATH,Grove St PATH_to_Dixon Mills,40.71958612,-74.04311746
Destination,Dixon Mills,Grove St PATH_to_Dixon Mills,40.72163014,-74.04996783
Origin,Grove St PATH,Grove St PATH_to_E 20 St & FDR Drive,40.71958612,-74.04311746
Destination,E 20 St & FDR Drive,Grove St PATH_to_E 20 St & FDR Drive,40.73314259,-73.97573881
Origin,Grove St PATH,Grove St PATH_to_Essex Light Rail,40.71958612,-74.04311746
Destination,Essex Light Rail,Grove St PATH_to_Essex Light Rail,40.7127742,-74.0364857
Origin,Grove St PATH,Grove St PATH_to_Exchange Place,40.71958612,-74.04311746
Destination,Exchange Place,Grove St PATH_to_Exchange Place,40.7162469,-74.0334588
Origin,Grove St PATH,Grove St PATH_to_Fairmount Ave,40.71958612,-74.04311746
Destination,Fairmount Ave,Grove St PATH_to_Fairmount Ave,40.72572614,-74.07195926
Origin,Grove St PATH,Grove St PATH_to_Gansevoort St & Hudson St,40.71958612,-74.04311746
Destination,Gansevoort St & Hudson St,Grove St PATH_to_Gansevoort St & Hudson St,40.7394482,-74.00507033
Origin,Grove St PATH,Grove St PATH_to_Glenwood Ave,40.71958612,-74.04311746
Destination,Glenwood Ave,Grove St PATH_to_Glenwood Ave,40.72755147,-74.07106072
Origin,Grove St PATH,Grove St PATH_to_Grand St,40.71958612,-74.04311746
Destination,Grand St,Grove St PATH_to_Grand St,40.71517768,-74.03768331
Origin,Grove St PATH,Grove St PATH_to_Grove St PATH,40.71958612,-74.04311746
Destination,Grove St PATH,Grove St PATH_to_Grove St PATH,40.71958612,-74.04311746
Origin,Grove St PATH,Grove St PATH_to_Hamilton Park,40.71958612,-74.04311746
Destination,Hamilton Park,Grove St PATH_to_Hamilton Park,40.72759597,-74.04424731
Origin,Grove St PATH,Grove St PATH_to_Harborside,40.71958612,-74.04311746
Destination,Harborside,Grove St PATH_to_Harborside,40.7192517,-74.034234
Origin,Grove St PATH,Grove St PATH_to_Heights Elevator,40.71958612,-74.04311746
Destination,Heights Elevator,Grove St PATH_to_Heights Elevator,40.74871595,-74.0404433
Origin,Grove St PATH,Grove St PATH_to_Hilltop,40.71958612,-74.04311746
Destination,Hilltop,Grove St PATH_to_Hilltop,40.7311689,-74.0575736
Origin,Grove St PATH,Grove St PATH_to_Hoboken Ave at Monmouth St,40.71958612,-74.04311746
Destination,Hoboken Ave at Monmouth St,Grove St PATH_to_Hoboken Ave at Monmouth St,40.73520838,-74.04696375
Origin,Grove St PATH,Grove St PATH_to_Jackson Square,40.71958612,-74.04311746
Destination,Jackson Square,Grove St PATH_to_Jackson Square,40.71113,-74.0789
Origin,Grove St PATH,Grove St PATH_to_JC Medical Center,40.71958612,-74.04311746
Destination,JC Medical Center,Grove St PATH_to_JC Medical Center,40.71653978,-74.04963791
Origin,Grove St PATH,Grove St PATH_to_JCBS Depot,40.71958612,-74.04311746
Destination,JCBS Depot,Grove St PATH_to_JCBS Depot,40.70965083,-74.06860113
Origin,Grove St PATH,Grove St PATH_to_Jersey & 3rd,40.71958612,-74.04311746
Destination,Jersey & 3rd,Grove St PATH_to_Jersey & 3rd,40.72333159,-74.04595256
Origin,Grove St PATH,Grove St PATH_to_Jersey & 6th St,40.71958612,-74.04311746
Destination,Jersey & 6th St,Grove St PATH_to_Jersey & 6th St,40.72528911,-74.04557168
Origin,Grove St PATH,Grove St PATH_to_Journal Square,40.71958612,-74.04311746
Destination,Journal Square,Grove St PATH_to_Journal Square,40.73367,-74.0625
Origin,Grove St PATH,Grove St PATH_to_Lafayette Park,40.71958612,-74.04311746
Destination,Lafayette Park,Grove St PATH_to_Lafayette Park,40.71346383,-74.06285852
Origin,Grove St PATH,Grove St PATH_to_Leonard Gordon Park,40.71958612,-74.04311746
Destination,Leonard Gordon Park,Grove St PATH_to_Leonard Gordon Park,40.74590997,-74.05727148
Origin,Grove St PATH,Grove St PATH_to_Liberty Light Rail,40.71958612,-74.04311746
Destination,Liberty Light Rail,Grove St PATH_to_Liberty Light Rail,40.7112423,-74.0557013
Origin,Grove St PATH,Grove St PATH_to_Lincoln Park,40.71958612,-74.04311746
Destination,Lincoln Park,Grove St PATH_to_Lincoln Park,40.7246051,-74.07840595
Origin,Grove St PATH,Grove St PATH_to_Manila & 1st,40.71958612,-74.04311746
Destination,Manila & 1st,Grove St PATH_to_Manila & 1st,40.72165072,-74.04288411
Origin,Grove St PATH,Grove St PATH_to_Marin Light Rail,40.71958612,-74.04311746
Destination,Marin Light Rail,Grove St PATH_to_Marin Light Rail,40.71458404,-74.04281706
Origin,Grove St PATH,Grove St PATH_to_McGinley Square,40.71958612,-74.04311746
Destination,McGinley Square,Grove St PATH_to_McGinley Square,40.72533993,-74.06762213
Origin,Grove St PATH,Grove St PATH_to_Monmouth and 6th,40.71958612,-74.04311746
Destination,Monmouth and 6th,Grove St PATH_to_Monmouth and 6th,40.72568548,-74.04879034
Origin,Grove St PATH,Grove St PATH_to_Montgomery St,40.71958612,-74.04311746
Destination,Montgomery St,Grove St PATH_to_Montgomery St,40.71942,-74.05099
Origin,Grove St PATH,Grove St PATH_to_Morris Canal,40.71958612,-74.04311746
Destination,Morris Canal,Grove St PATH_to_Morris Canal,40.71241882,-74.03852552
Origin,Grove St PATH,Grove St PATH_to_Newark Ave,40.71958612,-74.04311746
Destination,Newark Ave,Grove St PATH_to_Newark Ave,40.72152515,-74.04630454
Origin,Grove St PATH,Grove St PATH_to_Newport PATH,40.71958612,-74.04311746
Destination,Newport PATH,Grove St PATH_to_Newport PATH,40.7272235,-74.0337589
Origin,Grove St PATH,Grove St PATH_to_Newport Pkwy,40.71958612,-74.04311746
Destination,Newport Pkwy,Grove St PATH_to_Newport Pkwy,40.7287448,-74.0321082
Origin,Grove St PATH,Grove St PATH_to_Oakland Ave,40.71958612,-74.04311746
Destination,Oakland Ave,Grove St PATH_to_Oakland Ave,40.7376037,-74.0524783
Origin,Grove St PATH,Grove St PATH_to_Paulus Hook,40.71958612,-74.04311746
Destination,Paulus Hook,Grove St PATH_to_Paulus Hook,40.7141454,-74.0335519
Origin,Grove St PATH,Grove St PATH_to_Pershing Field,40.71958612,-74.04311746
Destination,Pershing Field,Grove St PATH_to_Pershing Field,40.74267714,-74.05178863
Origin,Grove St PATH,Grove St PATH_to_Riverview Park,40.71958612,-74.04311746
Destination,Riverview Park,Grove St PATH_to_Riverview Park,40.7443187,-74.0439909
Origin,Grove St PATH,Grove St PATH_to_Sip Ave,40.71958612,-74.04311746
Destination,Sip Ave,Grove St PATH_to_Sip Ave,40.73085296,-74.06387585
Origin,Grove St PATH,Grove St PATH_to_Union St,40.71958612,-74.04311746
Destination,Union St,Grove St PATH_to_Union St,40.7182113,-74.0836394
Origin,Grove St PATH,Grove St PATH_to_Van Vorst Park,40.71958612,-74.04311746
Destination,Van Vorst Park,Grove St PATH_to_Van Vorst Park,40.71848892,-74.04772663
Origin,Grove St PATH,Grove St PATH_to_Warren St,40.71958612,-74.04311746
Destination,Warren St,Grove St PATH_to_Warren St,40.7211236,-74.03805095
